2022-11-29 16:27:47,199 [main] INFO  o.a.coyote.http11.Http11NioProtocol 173 - Initializing ProtocolHandler ["http-nio-8080"]
2022-11-29 16:27:47,199 [main] INFO  o.a.catalina.core.StandardService 173 - Starting service [Tomcat]
2022-11-29 16:27:47,200 [main] INFO  o.a.catalina.core.StandardEngine 173 - Starting Servlet engine: [Apache Tomcat/9.0.69]
2022-11-29 16:27:47,316 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] 173 - Initializing Spring embedded WebApplicationContext
2022-11-29 16:27:47,317 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext 292 - Root WebApplicationContext: initialization completed in 968 ms
2022-11-29 16:27:47,572 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping 53 - Adding welcome page: class path resource [static/index.html]
2022-11-29 16:27:47,867 [main] INFO  o.a.coyote.http11.Http11NioProtocol 173 - Starting ProtocolHandler ["http-nio-8080"]
2022-11-29 16:27:47,884 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer 220 - Tomcat started on port(s): 8080 (http) with context path ''
2022-11-29 16:27:47,929 [main] INFO  o.a.c.i.engine.AbstractCamelContext 3058 - Apache Camel 3.19.0 (camel-2) is starting
2022-11-29 16:27:47,935 [main] INFO  o.a.c.i.engine.AbstractCamelContext 3220 - Routes startup (started:0)
2022-11-29 16:27:47,935 [main] INFO  o.a.c.i.engine.AbstractCamelContext 3249 - Apache Camel 3.19.0 (camel-2) started in 44ms (build:5ms init:35ms start:4ms)
2022-11-29 16:27:47,939 [main] INFO  c.e.fhir_etl_test.FhirEtlApplication 61 - Started FhirEtlApplication in 2.001 seconds (JVM running for 2.362)
2022-11-29 16:27:47,977 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] 173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-11-29 16:27:47,977 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet 525 - Initializing Servlet 'dispatcherServlet'
2022-11-29 16:27:47,978 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet 547 - Completed initialization in 1 ms
2022-11-29 16:28:31,274 [SpringApplicationShutdownHook] INFO  o.a.c.i.engine.AbstractCamelContext 3454 - Apache Camel 3.19.0 (camel-2) is shutting down (timeout:45s)
2022-11-29 16:28:31,274 [SpringApplicationShutdownHook] INFO  o.a.c.i.engine.AbstractCamelContext 166 - Routes stopped (stopped:0)
2022-11-29 16:28:31,275 [SpringApplicationShutdownHook] INFO  o.a.c.i.engine.AbstractCamelContext 3593 - Apache Camel 3.19.0 (camel-2) shutdown in 1ms (uptime:43s)
2022-11-29 16:32:04,599 [main] INFO  c.e.fhir_etl_test.FhirEtlApplication 55 - Starting FhirEtlApplication using Java 17.0.5 on June4693-450G7 with PID 16340 (C:\Users\june.wu\Desktop\cameltest\fhir_etl_ui\fhir_etl_test\target\classes started by June.Wu in C:\Users\june.wu\Desktop\cameltest\fhir_etl_ui\fhir_etl_test)
2022-11-29 16:32:04,602 [main] INFO  c.e.fhir_etl_test.FhirEtlApplication 631 - No active profile set, falling back to 1 default profile: "default"
2022-11-29 16:32:05,496 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer 108 - Tomcat initialized with port(s): 8080 (http)
2022-11-29 16:32:05,503 [main] INFO  o.a.coyote.http11.Http11NioProtocol 173 - Initializing ProtocolHandler ["http-nio-8080"]
2022-11-29 16:32:05,503 [main] INFO  o.a.catalina.core.StandardService 173 - Starting service [Tomcat]
2022-11-29 16:32:05,505 [main] INFO  o.a.catalina.core.StandardEngine 173 - Starting Servlet engine: [Apache Tomcat/9.0.69]
2022-11-29 16:32:05,613 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] 173 - Initializing Spring embedded WebApplicationContext
2022-11-29 16:32:05,613 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext 292 - Root WebApplicationContext: initialization completed in 966 ms
2022-11-29 16:32:05,870 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping 53 - Adding welcome page: class path resource [static/index.html]
2022-11-29 16:32:06,156 [main] INFO  o.a.coyote.http11.Http11NioProtocol 173 - Starting ProtocolHandler ["http-nio-8080"]
2022-11-29 16:32:06,172 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer 220 - Tomcat started on port(s): 8080 (http) with context path ''
2022-11-29 16:32:06,213 [main] INFO  o.a.c.i.engine.AbstractCamelContext 3058 - Apache Camel 3.19.0 (camel-2) is starting
2022-11-29 16:32:06,217 [main] INFO  o.a.c.i.engine.AbstractCamelContext 3220 - Routes startup (started:0)
2022-11-29 16:32:06,217 [main] INFO  o.a.c.i.engine.AbstractCamelContext 3249 - Apache Camel 3.19.0 (camel-2) started in 39ms (build:6ms init:31ms start:2ms)
2022-11-29 16:32:06,221 [main] INFO  c.e.fhir_etl_test.FhirEtlApplication 61 - Started FhirEtlApplication in 1.978 seconds (JVM running for 2.296)
2022-11-29 16:32:13,560 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] 173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-11-29 16:32:13,561 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet 525 - Initializing Servlet 'dispatcherServlet'
2022-11-29 16:32:13,562 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet 547 - Completed initialization in 1 ms
2022-11-29 16:53:38,826 [SpringApplicationShutdownHook] INFO  o.a.c.i.engine.AbstractCamelContext 3454 - Apache Camel 3.19.0 (camel-2) is shutting down (timeout:45s)
2022-11-29 16:53:38,827 [SpringApplicationShutdownHook] INFO  o.a.c.i.engine.AbstractCamelContext 166 - Routes stopped (stopped:0)
2022-11-29 16:53:38,828 [SpringApplicationShutdownHook] INFO  o.a.c.i.engine.AbstractCamelContext 3593 - Apache Camel 3.19.0 (camel-2) shutdown in 2ms (uptime:21m32s)
2022-11-29 16:53:48,900 [main] INFO  c.e.fhir_etl_test.FhirEtlApplication 55 - Starting FhirEtlApplication using Java 17.0.5 on June4693-450G7 with PID 10336 (C:\Users\june.wu\Desktop\cameltest\fhir_etl_ui\fhir_etl_test\target\classes started by June.Wu in C:\Users\june.wu\Desktop\cameltest\fhir_etl_ui\fhir_etl_test)
2022-11-29 16:53:48,903 [main] INFO  c.e.fhir_etl_test.FhirEtlApplication 631 - No active profile set, falling back to 1 default profile: "default"
2022-11-29 16:53:49,757 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer 108 - Tomcat initialized with port(s): 8080 (http)
2022-11-29 16:53:49,765 [main] INFO  o.a.coyote.http11.Http11NioProtocol 173 - Initializing ProtocolHandler ["http-nio-8080"]
2022-11-29 16:53:49,765 [main] INFO  o.a.catalina.core.StandardService 173 - Starting service [Tomcat]
2022-11-29 16:53:49,766 [main] INFO  o.a.catalina.core.StandardEngine 173 - Starting Servlet engine: [Apache Tomcat/9.0.69]
2022-11-29 16:53:49,883 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] 173 - Initializing Spring embedded WebApplicationContext
2022-11-29 16:53:49,883 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext 292 - Root WebApplicationContext: initialization completed in 938 ms
2022-11-29 16:53:50,133 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping 53 - Adding welcome page: class path resource [static/index.html]
2022-11-29 16:53:50,406 [main] INFO  o.a.coyote.http11.Http11NioProtocol 173 - Starting ProtocolHandler ["http-nio-8080"]
2022-11-29 16:53:50,422 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer 220 - Tomcat started on port(s): 8080 (http) with context path ''
